ID,礼物名,基础经验值
100008,礼物选择盒,60
5000,波浪猫枕头,20
5001,佩洛洛健腹轮,20
5002,埃帕蓝牙耳机,20
5003,无法实现的爱恋 ~正因为是不被世间容许的爱，才更令人流连忘返~,20
5004,游戏杂志《HIT GIRLS》,20
5005,樱桃唇彩,20
5006,让皮肤更加白皙透亮的护肤霜,20
5007,迷彩伪装用粉底液3件套,20
5008,高级曲奇礼盒套装,20
5009,《枪、可爱、青春》,20
5010,天体望远镜,20
5011,Game Girl Color复刻版,20
5012,MX-野外战口粮 C型 甜品风味,20
5013,抹茶味弹珠汽水,20
5014,果冻抱枕,20
5015,跳跃侦探兔 ~由大雾引发的温泉滑倒事件~,20
5016,健身圈,20
5017,藏宝图,20
5018,装扮用圈圈眼镜,20
5019,世界上最没用的机器,20
5020,蝴蝶结玩具熊,20
5021,电影预售票,20
5022,绘画颜料30色套装,20
5023,古典诗集,20
5024,可爱的餐具套装,20
5025,益智魔方,20
5026,大型蛋糕,20
5027,高档自助餐招待券,20
5028,食虫植物盆栽,20
5029,看似昂贵的贪婪之坛,20
5030,发条音乐盒,20
5031,刺绣手绢,20
5032,百科全书,20
5033,营养补充剂,20
5034,夏日泳圈,20
5100,蕾丝枕头,120
5101,街头混混系列第1本,120
5102,莎姆艾菈【Beyond】,120
5103,高级蛋形工艺品,120
5104,千层酥咖啡厅的正宗芭菲,120
5105,A-Book Rare,120
5106,时髦梳子,120
5107,营养满分综合维他命果冻,120
5108,最高级枫树盆栽,120
5109,针线套装,120
5110,音乐演奏会门票,120
5111,一天三次哑铃套装,120
5112,桌游《人生》,120
5996,清新的花束,240
5997,美丽花束,240
5999,闪烁的花束,60
